train_time,passenger_count_total,passenger_count_avg_per_day
16:20:00,2056,97.9047619047619
16:26:00,2129,101.38095238095238
16:31:00,1657,78.9047619047619
16:36:00,2004,95.42857142857143
16:41:00,2356,112.19047619047619
16:46:00,2260,107.61904761904762
16:51:00,2004,95.42857142857143
16:56:00,3474,165.42857142857142
17:00:00,1611,76.71428571428571
17:06:00,3235,154.04761904761904
17:11:00,2214,105.42857142857143
17:16:00,2639,125.66666666666667
17:21:00,2540,120.95238095238095
17:26:00,2634,125.42857142857143
17:31:00,3305,157.38095238095238
17:36:00,2751,131.0
17:41:00,3293,156.8095238095238
17:46:00,2370,112.85714285714286
17:51:00,3296,156.95238095238096
17:56:00,2545,121.19047619047619
18:01:00,1929,91.85714285714286
18:06:00,4131,196.71428571428572
18:11:00,2926,139.33333333333334
18:16:00,3496,166.47619047619048
18:21:00,2152,102.47619047619048
18:26:00,3833,182.52380952380952
18:31:00,2966,141.23809523809524
18:36:00,3080,146.66666666666666
18:42:00,2792,132.95238095238096
18:49:00,3851,183.38095238095238
18:56:00,3431,163.38095238095238
19:02:00,1795,85.47619047619048
19:08:00,2880,137.14285714285714
19:15:00,2958,140.85714285714286
19:21:00,2392,113.9047619047619
19:27:00,2489,118.52380952380952
19:32:00,1859,88.52380952380952
19:36:00,1183,56.333333333333336
19:40:00,1330,63.333333333333336
19:46:00,2074,98.76190476190476
19:51:00,1142,54.38095238095238
19:55:00,2019,96.14285714285714
20:02:00,1475,70.23809523809524
20:05:00,1096,52.19047619047619
20:12:00,1782,84.85714285714286
20:20:00,2312,110.0952380952381
20:28:00,1766,84.0952380952381
20:36:00,1971,93.85714285714286
20:40:00,919,43.76190476190476
20:44:00,1049,49.95238095238095
20:53:00,1468,69.9047619047619
21:01:00,1810,86.19047619047619
21:09:00,1524,72.57142857142857
21:17:00,1322,62.95238095238095
21:25:00,1337,63.666666666666664
21:30:00,1079,51.38095238095238
21:33:00,461,21.952380952380953
21:43:00,1624,77.33333333333333
21:53:00,1427,67.95238095238095
22:03:00,1346,64.0952380952381
22:13:00,1219,58.04761904761905
22:23:00,1282,61.04761904761905
22:33:00,1116,53.142857142857146
22:43:00,948,45.142857142857146
22:48:00,514,24.476190476190474
22:58:00,678,32.285714285714285
23:08:00,842,40.095238095238095
23:22:00,936,44.57142857142857
23:32:00,486,23.142857142857142
23:45:00,465,22.142857142857142
